art;fem;mar;kid5;phd;ment
0;Men;Married;0;2.519999981;7
0;Women;Single;0;2.049999952;6
0;Women;Single;0;3.75;6
0;Men;Married;1;1.179999948;3
0;Women;Single;0;3.75;26
0;Women;Married;2;3.589999914;2
0;Women;Single;0;3.190000057;3
0;Men;Married;2;2.960000038;4
0;Men;Single;0;4.619999886;6
0;Women;Married;0;1.25;0
0;Men;Single;0;2.960000038;14
0;Women;Single;0;0.754999995;13
0;Women;Married;1;3.690000057;3
0;Women;Married;0;3.400000095;4
0;Women;Married;0;1.789999962;0
0;Women;Single;0;3.089999914;1
0;Women;Married;0;2;7
0;Men;Married;2;4.289999962;13
0;Women;Single;0;3.359999895;7
0;Women;Single;0;4.289999962;9
0;Women;Married;0;2.25999999;6
0;Men;Married;3;2.960000038;3
0;Men;Married;1;4.289999962;5
0;Men;Married;1;2.859999895;4
0;Men;Married;3;2.75999999;1
0;Women;Married;0;1.519999981;3
0;Women;Married;1;3.539999962;8
0;Men;Married;1;4.289999962;3
0;Women;Single;0;3.089999914;0
0;Men;Married;0;2.319999933;3
0;Women;Single;0;2.390000105;0
0;Men;Married;0;4.289999962;8
0;Women;Single;0;1.504999995;13
0;Men;Single;0;2.099999905;0
0;Men;Married;1;1.519999981;0
0;Women;Single;0;2;0
0;Women;Single;0;1.75;0
0;Men;Single;0;4.289999962;9
0;Men;Married;1;1.220000029;2
0;Women;Married;0;3.75;5
0;Men;Single;0;4.289999962;9
0;Women;Married;1;2.859999895;3
0;Men;Single;0;3.920000076;5
0;Women;Married;1;3.359999895;3
0;Men;Single;0;2.099999905;6
0;Men;Married;1;1.179999948;0
0;Men;Married;0;2.5;1
0;Men;Married;0;3.359999895;25
0;Women;Single;0;4.539999962;14
0;Women;Married;0;3.920000076;8
0;Men;Single;0;4.539999962;5
0;Women;Married;2;1.970000029;0
0;Men;Married;2;2.960000038;12
0;Men;Married;0;4.289999962;8
0;Men;Married;1;2.25999999;2
0;Women;Single;0;2.119999886;11
0;Women;Single;0;3.210000038;2
0;Men;Married;1;3.150000095;1
0;Men;Married;1;3.920000076;1
0;Men;Single;0;2.960000038;0
0;Women;Single;0;2.859999895;6
0;Men;Married;1;2.099999905;0
0;Women;Single;0;3.75;4
0;Women;Married;0;3.539999962;2
0;Women;Married;0;2.539999962;1
0;Men;Married;1;2.75999999;3
0;Men;Married;0;4.539999962;10
0;Men;Married;0;1.679999948;6
0;Men;Married;1;2.200000048;0
0;Women;Single;0;1.004999995;0
0;Men;Single;0;2.119999886;2
0;Women;Married;2;2.579999924;0
0;Women;Married;0;1.789999962;1
0;Men;Single;0;4.289999962;2
0;Women;Married;0;1.279999971;4
0;Men;Married;2;2.579999924;5
0;Men;Married;2;2.119999886;0
0;Men;Married;1;2.210000038;1
0;Men;Married;1;2.25999999;5
0;Women;Single;0;3.210000038;5
0;Women;Single;0;2.099999905;2
0;Women;Married;1;3.539999962;1
0;Men;Married;1;3.400000095;18
0;Men;Married;0;2.210000038;6
0;Men;Married;0;2.210000038;19
0;Men;Married;2;0.920000017;1
0;Women;Single;0;4.289999962;35
0;Men;Married;2;3.150000095;6
0;Men;Married;0;4.289999962;19
0;Men;Married;1;2.50999999;8
0;Men;Married;1;4.289999962;1
0;Women;Married;0;2.75999999;0
0;Men;Married;0;1.419999957;3
0;Men;Married;0;2.210000038;19
0;Men;Single;0;4.139999866;5
0;Men;Married;0;1.519999981;7
0;Men;Single;0;4.619999886;8
0;Women;Single;0;3.619999886;7
0;Women;Married;2;3.75;4
0;Men;Married;0;4.289999962;8
0;Women;Single;0;3.75;5
0;Men;Married;1;2.099999905;0
0;Men;Married;2;1.399999976;7
0;Women;Married;0;3.190000057;4
0;Men;Married;2;1.809999943;1
0;Men;Married;1;3.150000095;2
0;Women;Married;0;3.75;7
0;Women;Single;0;2.049999952;6
0;Men;Married;3;2.210000038;3
0;Women;Married;2;3.359999895;2
0;Women;Married;0;3.470000029;11
0;Women;Single;0;2.119999886;0
0;Women;Married;1;3.359999895;2
0;Men;Married;0;2.539999962;5
0;Men;Married;2;2.150000095;4
0;Men;Married;1;4.539999962;3
0;Men;Married;0;1.679999948;4
0;Women;Married;1;2.549999952;0
0;Women;Single;0;2.119999886;11
0;Men;Married;1;3.470000029;2
0;Women;Married;0;3.470000029;1
0;Women;Single;0;3.359999895;9
0;Men;Married;1;2.119999886;10
0;Women;Single;0;2.099999905;1
0;Women;Single;0;4.289999962;1
0;Men;Married;1;2.859999895;13
0;Women;Married;1;4.289999962;9
0;Men;Married;0;3.210000038;2
0;Men;Single;0;2.099999905;0
0;Women;Married;0;1.809999943;5
0;Women;Single;0;2.519999981;2
0;Men;Married;1;3.359999895;23
0;Women;Married;0;4.539999962;4
0;Women;Married;1;4.289999962;4
0;Women;Single;0;2.119999886;9
0;Men;Married;2;4.619999886;30
0;Women;Married;1;3.589999914;14
0;Women;Single;0;3.589999914;4
0;Men;Married;3;2.859999895;1
0;Women;Single;0;1.504999995;3
0;Women;Married;1;2.5;0
0;Women;Married;0;4.619999886;0
0;Men;Single;0;2.5;0
0;Women;Married;1;3.359999895;3
0;Women;Single;0;2;2
0;Women;Married;2;3.410000086;5
0;Men;Married;0;2.099999905;0
0;Women;Single;0;2;2
0;Men;Married;0;3.359999895;2
0;Men;Married;3;3.589999914;7
0;Men;Single;0;2.140000105;2
0;Women;Married;0;3.589999914;12
0;Women;Single;0;2.390000105;10
0;Men;Married;3;4.539999962;11
0;Men;Single;0;2.960000038;2
0;Men;Married;1;2.210000038;5
0;Men;Married;2;3.690000057;5
0;Women;Married;0;1.779999971;1
0;Women;Single;0;2.859999895;11
0;Men;Married;0;2.859999895;8
0;Women;Married;0;2.579999924;3
0;Women;Single;0;3.75;1
0;Women;Married;1;1.220000029;11
0;Women;Single;0;2.099999905;9
0;Women;Single;0;3.589999914;18
0;Women;Single;0;3.539999962;5
0;Women;Single;0;2.859999895;16
0;Women;Married;0;1.860000014;6
0;Men;Married;0;2.960000038;0
0;Women;Married;0;3.690000057;7
0;Women;Married;0;3.690000057;2
0;Women;Married;0;4.289999962;1
0;Women;Single;0;2.519999981;1
0;Women;Single;0;1.75999999;10
0;Men;Married;2;2.319999933;2
0;Women;Single;0;3.690000057;2
0;Women;Single;0;3.75;14
0;Women;Single;0;4.289999962;5
0;Women;Married;2;4.539999962;6
0;Men;Married;1;2.099999905;0
0;Women;Married;1;2.539999962;0
0;Men;Married;1;2.210000038;19
0;Men;Single;0;4.539999962;8
0;Men;Married;1;2.099999905;12
0;Men;Single;0;2.25999999;5
0;Women;Married;1;4.619999886;15
0;Women;Single;0;2.75999999;4
0;Women;Single;0;4.289999962;12
0;Women;Single;0;0.754999995;0
0;Women;Married;0;1.830000043;2
0;Women;Single;0;1.789999962;0
0;Women;Married;1;4.289999962;6
0;Women;Single;0;2.5;0
0;Men;Married;0;2.140000105;1
0;Men;Married;2;3.400000095;13
0;Women;Single;0;2.869999886;15
0;Women;Married;0;2.960000038;0
0;Women;Married;2;3.190000057;0
